evals,trace
6.460000000000000000e+02,7.900762296132077811e-01
6.480000000000000000e+02,8.424579690396230003e-01
6.500000000000000000e+02,8.028995900698033816e-01
6.520000000000000000e+02,8.588594942947670452e-01
6.540000000000000000e+02,9.411471373517804606e-01
6.560000000000000000e+02,9.358873606542217338e-01
6.580000000000000000e+02,9.203352824629906781e-01
6.600000000000000000e+02,9.793828975462389730e-01
6.620000000000000000e+02,9.777635036732837959e-01
6.640000000000000000e+02,9.766871514190268444e-01
6.660000000000000000e+02,9.896907071571821035e-01
6.680000000000000000e+02,9.860450248206864554e-01
6.700000000000000000e+02,9.891214292215662063e-01
6.720000000000000000e+02,9.881830852886379635e-01
6.740000000000000000e+02,9.819082320948895326e-01
6.760000000000000000e+02,9.711154410234642542e-01
6.780000000000000000e+02,9.975338578749137763e-01
6.800000000000000000e+02,9.971376280586581320e-01
6.820000000000000000e+02,9.747730487327687099e-01
6.840000000000000000e+02,9.907537084752298107e-01
6.860000000000000000e+02,9.903459175534462533e-01
6.880000000000000000e+02,9.789616514058409047e-01
6.900000000000000000e+02,9.805902424078072332e-01
6.920000000000000000e+02,9.692500281262139694e-01
6.940000000000000000e+02,9.799172837365338617e-01
6.960000000000000000e+02,9.766365438765974849e-01
6.980000000000000000e+02,9.829672234045716550e-01
7.000000000000000000e+02,9.860630427583492175e-01
7.020000000000000000e+02,9.865542235778944624e-01
7.040000000000000000e+02,9.863992428424209757e-01
7.060000000000000000e+02,9.857112775405592053e-01
7.080000000000000000e+02,9.906595105533803070e-01
7.100000000000000000e+02,9.897083011886722570e-01
7.120000000000000000e+02,9.942887061292897677e-01
7.140000000000000000e+02,9.955982110593446510e-01
7.160000000000000000e+02,9.956624035182565224e-01
7.180000000000000000e+02,9.971202088954824738e-01
7.200000000000000000e+02,9.975182470441616989e-01
7.220000000000000000e+02,9.974507444963075509e-01
7.240000000000000000e+02,9.990529639753658042e-01
7.260000000000000000e+02,9.999154415197051282e-01
7.280000000000000000e+02,9.980560125143277395e-01
7.300000000000000000e+02,9.998832519659872631e-01
7.320000000000000000e+02,9.998900093627544061e-01
7.340000000000000000e+02,9.999114308951756458e-01
7.360000000000000000e+02,9.998552738047494781e-01
7.380000000000000000e+02,9.999217380605243122e-01
7.400000000000000000e+02,9.997633535782591840e-01
7.420000000000000000e+02,9.992132721096186332e-01
7.440000000000000000e+02,9.995977305087448972e-01
7.460000000000000000e+02,9.992694738987502046e-01
7.480000000000000000e+02,9.991567434151155114e-01
7.500000000000000000e+02,9.990502735396662448e-01
7.520000000000000000e+02,9.995968012740282793e-01
7.540000000000000000e+02,9.995953572376840013e-01
7.560000000000000000e+02,9.996051648523355260e-01
7.580000000000000000e+02,9.996093846461882038e-01
7.600000000000000000e+02,9.999927509575525786e-01
7.620000000000000000e+02,9.999875218450503533e-01
7.640000000000000000e+02,9.998055774018602682e-01
7.660000000000000000e+02,9.998887284555624255e-01
7.680000000000000000e+02,9.998548574450629722e-01
7.700000000000000000e+02,9.999277477988158802e-01
7.720000000000000000e+02,9.996293558934196133e-01
7.740000000000000000e+02,9.999806941741242738e-01
7.760000000000000000e+02,9.997502194413239174e-01
7.780000000000000000e+02,9.997273919388217633e-01
7.800000000000000000e+02,9.998238346792984732e-01
7.820000000000000000e+02,9.951142953099049171e-01
7.840000000000000000e+02,9.948652011643408510e-01
7.860000000000000000e+02,9.969758207103720515e-01
7.880000000000000000e+02,9.989354461538164642e-01
7.900000000000000000e+02,9.968920199379029956e-01
7.920000000000000000e+02,9.987390806661715636e-01
7.940000000000000000e+02,9.995889440373162405e-01
7.960000000000000000e+02,9.996768953957745341e-01
7.980000000000000000e+02,9.998432139059001411e-01
8.000000000000000000e+02,9.998453074312040334e-01
8.020000000000000000e+02,9.998041536453380340e-01
8.040000000000000000e+02,9.997002091511947297e-01
8.060000000000000000e+02,9.990771330451950760e-01
8.080000000000000000e+02,9.993570485747639287e-01
8.100000000000000000e+02,9.996509869897893807e-01
8.120000000000000000e+02,9.999992731875206875e-01
8.140000000000000000e+02,9.999997092764121298e-01
8.160000000000000000e+02,9.991750045069066610e-01
8.180000000000000000e+02,9.993498176566347757e-01
8.200000000000000000e+02,9.990565117498156900e-01
8.220000000000000000e+02,9.992473009515585591e-01
8.240000000000000000e+02,9.990634999514693693e-01
8.260000000000000000e+02,9.991684557030169334e-01
8.280000000000000000e+02,9.995743789511516431e-01
8.300000000000000000e+02,9.994537875959784712e-01
8.320000000000000000e+02,9.986750323452817657e-01
8.340000000000000000e+02,9.971519653571978559e-01
8.360000000000000000e+02,9.999987877149736359e-01
8.380000000000000000e+02,9.999910294194451765e-01
8.400000000000000000e+02,9.998339489605925223e-01
8.420000000000000000e+02,9.999674381081427033e-01
8.440000000000000000e+02,9.999915043755844835e-01
8.460000000000000000e+02,9.997612085944198590e-01
8.480000000000000000e+02,9.994165526080459605e-01
8.500000000000000000e+02,9.995330684565315593e-01
8.520000000000000000e+02,9.997319449705175387e-01
8.540000000000000000e+02,9.999903767681810329e-01
8.560000000000000000e+02,9.999946754344890554e-01
8.580000000000000000e+02,9.998883666631003253e-01
8.600000000000000000e+02,9.999181333498363689e-01
8.620000000000000000e+02,9.998084788956993485e-01
8.640000000000000000e+02,9.997832808564277585e-01
8.660000000000000000e+02,9.999466861663152129e-01
8.680000000000000000e+02,9.999919359133658814e-01
8.700000000000000000e+02,9.999927495475269268e-01
8.720000000000000000e+02,9.999866666771937140e-01
8.740000000000000000e+02,9.999083294463525506e-01
8.760000000000000000e+02,9.999917702699424593e-01
8.780000000000000000e+02,9.999911668050264213e-01
8.800000000000000000e+02,9.999957533859404890e-01
8.820000000000000000e+02,9.999973660250002228e-01
8.840000000000000000e+02,9.999845394951989430e-01
8.860000000000000000e+02,9.999748836427765353e-01
8.880000000000000000e+02,9.999928773195920773e-01
8.900000000000000000e+02,9.997312593776908063e-01
8.920000000000000000e+02,9.997303830373099887e-01
8.940000000000000000e+02,9.995819716425013990e-01
8.960000000000000000e+02,9.998700414919394763e-01
8.980000000000000000e+02,9.999227050665869809e-01
9.000000000000000000e+02,9.999774747800662666e-01
9.020000000000000000e+02,9.999293791912597928e-01
9.040000000000000000e+02,9.999616521542390446e-01
9.060000000000000000e+02,9.999128844750554412e-01
9.080000000000000000e+02,9.995880896540185745e-01
9.100000000000000000e+02,9.997914785166798213e-01
9.120000000000000000e+02,9.999586947961117689e-01
9.140000000000000000e+02,9.993273433895332181e-01
9.160000000000000000e+02,9.993645812228035830e-01
9.180000000000000000e+02,9.994242903400799571e-01
9.200000000000000000e+02,9.992956586699630606e-01
9.220000000000000000e+02,9.994851298706654008e-01
9.240000000000000000e+02,9.996956087125873358e-01
9.260000000000000000e+02,9.998109665359208309e-01
